### Cleaned Ct Data ###,,,,,,,,,,,
#VALUE!,#VALUE!,#VALUE!,8e-06,1.877e-05,2.456e-05,0.01598461,0.01585161,0.0173575,3.364e-05,3.176e-05,4.109e-05
#VALUE!,#VALUE!,#VALUE!,9.09e-06,9.28e-06,1.498e-05,0.01279724,0.0127547,0.01566092,2.136e-05,2.096e-05,2.2e-05
,,,,,,,,,,,
### Expression Means ###,,,,,,,,,,,
#VALUE!,1.937e-05,0.05691426,3.621e-05,,,,,,,,
#VALUE!,1.111e-05,0.04063202,1.642e-05,,,,,,,,
#VALUE!,4.31e-06,0.04284393,4.3e-05,,,,,,,,
#VALUE!,2.15e-06,0.03155038,3.584e-05,,,,,,,,
#VALUE!,1.55e-05,0.03225369,1.932e-05,,,,,,,,
#VALUE!,2.447e-05,0.03805707,2.73e-05,,,,,,,,
#VALUE!,2.441e-05,0.12252454,5.081e-05,,,,,,,,
#VALUE!,5.132e-05,0.0406148,3.255e-05,,,,,,,,
#VALUE!,0.00040035,0.0392991,0.00022229,,,,,,,,
#VALUE!,8.17e-06,0.05417687,3.317e-05,,,,,,,,
#VALUE!,1.711e-05,0.01639791,3.55e-05,,,,,,,,
#VALUE!,1.111e-05,0.01373762,2.144e-05,,,,,,,,
,,,,,,,,,,,
### Expression SDs ###,,,,,,,,,,,
#VALUE!,4.03e-06,0.00439001,4.6e-07,,,,,,,,
#VALUE!,3.78e-06,0.00339928,3.63e-06,,,,,,,,
#VALUE!,1.88e-06,0.00230654,1.97e-06,,,,,,,,
#VALUE!,#VALUE!,0.00065498,4.53e-06,,,,,,,,
#VALUE!,5.52e-06,0.00122836,5.87e-06,,,,,,,,
#VALUE!,6.63e-06,0.00378313,4.8e-06,,,,,,,,
#VALUE!,7.04e-06,0.0428738,4.21e-06,,,,,,,,
#VALUE!,4.32e-06,0.00217015,1.21e-06,,,,,,,,
#VALUE!,0.00022976,0.00404913,0.00016617,,,,,,,,
#VALUE!,5.17e-06,0.00230214,1.596e-05,,,,,,,,
#VALUE!,8.4e-06,0.00083368,4.94e-06,,,,,,,,
#VALUE!,3.35e-06,0.00166576,5.2e-07,,,,,,,,
,,,,,,,,,,,
### Relative Expression vs. Control ###,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1
#VALUE!,#VALUE!,#VALUE!,0.42724917,0.6994706,0.59488459,0.64317801,0.73647351,0.76756549,0.38235662,0.57605177,0.40402399
#VALUE!,#VALUE!,#VALUE!,0.19671847,0.11277336,0.42332146,0.7392534,0.74527167,0.77674744,1.20137868,1.24854927,1.11402802
#VALUE!,#VALUE!,#VALUE!,0.10098317,#VALUE!,#VALUE!,0.53434709,0.53623873,0.59791542,1.12570274,0.96871114,0.87511204
#VALUE!,#VALUE!,#VALUE!,0.94629089,0.76878624,0.63599517,0.57459575,0.52584349,0.60518991,0.48226325,0.72450039,0.39790926
#VALUE!,#VALUE!,#VALUE!,0.81146542,1.36810774,1.75588659,0.69413471,0.5599288,0.76604553,0.7045729,0.91627518,0.64420543
#VALUE!,#VALUE!,#VALUE!,0.84153932,1.44038345,1.59180484,1.27075438,2.26357231,3.01942828,1.26645182,1.50197595,1.44187139
#VALUE!,#VALUE!,#VALUE!,2.28592707,2.54542179,3.32869095,0.68730785,0.71300558,0.7439969,0.90364708,0.94105987,0.85266304
#VALUE!,#VALUE!,#VALUE!,11.88026166,30.06577912,19.22619251,0.61571366,0.63067794,0.84422791,3.19181831,11.58537048,3.74729103
#VALUE!,#VALUE!,#VALUE!,0.19829606,0.28344391,0.95028683,0.90244406,0.87714757,1.09438594,0.64297176,0.68843166,1.4086179
#VALUE!,#VALUE!,#VALUE!,0.37645832,0.84842727,1.66530936,0.27282222,0.26322967,0.33422727,0.92682791,0.88914943,1.12202569
#VALUE!,#VALUE!,#VALUE!,0.42769162,0.41937797,1.01563565,0.21842068,0.2118028,0.30155874,0.58846636,0.58672243,0.60059503
,,,,,,,,,,,
### Relative Expression Means ###,,,,,,,,,,,
1,1,1,1,,,,,,,,
#VALUE!,0.57386812,0.715739,0.45414413,,,,,,,,
#VALUE!,0.2442711,0.7537575,1.18798532,,,,,,,,
#VALUE!,0.10098317,0.55616708,0.98984197,,,,,,,,
#VALUE!,0.78369077,0.56854305,0.53489097,,,,,,,,
#VALUE!,1.31181991,0.67336968,0.75501784,,,,,,,,
#VALUE!,1.29124254,2.18458499,1.40343305,,,,,,,,
#VALUE!,2.72001327,0.71477011,0.89912333,,,,,,,,
#VALUE!,20.39074443,0.69687317,6.17482661,,,,,,,,
#VALUE!,0.47734227,0.95799252,0.91334044,,,,,,,,
#VALUE!,0.96339832,0.29009305,0.97933434,,,,,,,,
#VALUE!,0.62090175,0.2439274,0.59192794,,,,,,,,
,,,,,,,,,,,
### Relative Expression SDs ###,,,,,,,,,,,
0,0,0,0,,,,,,,,
#VALUE!,0.13732223,0.06473408,0.10612952,,,,,,,,
#VALUE!,0.16064237,0.02013598,0.06825341,,,,,,,,
#VALUE!,#VALUE!,0.03616749,0.12662468,,,,,,,,
#VALUE!,0.15568387,0.04001799,0.16953672,,,,,,,,
#VALUE!,0.47472,0.10461556,0.14287759,,,,,,,,
#VALUE!,0.39674532,0.87700875,0.1223766,,,,,,,,
#VALUE!,0.54286349,0.02838569,0.0443717,,,,,,,,
#VALUE!,9.14851885,0.1278321,4.69389244,,,,,,,,
#VALUE!,0.41178874,0.11879542,0.4295247,,,,,,,,
#VALUE!,0.65207209,0.03852111,0.12500213,,,,,,,,
#VALUE!,0.34187486,0.05001977,0.0075564,,,,,,,,
