genotype,n,frequency
ε3/ε3,1525,0.6090255591054313
ε3/ε4,547,0.21845047923322683
ε2/ε3,282,0.11261980830670927
ε4/ε4,70,0.027955271565495207
ε2/ε4,65,0.025958466453674122
ε2/ε2,14,0.005591054313099041
ε1/ε4,1,3.9936102236421724e-4
