superpop,n_samples,e4_carrier_rate,e2_carrier_rate
AFR,661,0.46142208774583965,0.19667170953101362
AMR,347,0.2017291066282421,0.09221902017291066
EAS,504,0.16468253968253968,0.19246031746031747
EUR,503,0.2882703777335984,0.12326043737574553
SAS,489,0.16359918200409,0.081799591002045
